mtp,wall_time
7.809389,2137.156562
7.146438,2153.476053
5.66619,2168.98948
6.124266,2186.502194
8.176707,2203.524414
9.003316,2221.360987
6.486111,2236.835724
5.577705,2254.011073
6.944697,2270.387239
7.203497,2287.762121
9.369033,2306.751817
6.371096,2320.829
8.654623,2338.013726
9.898568,2355.26572
20.197,2385.540467
6.799569,2403.174819
6.511008,2419.888509
7.177095,2436.531347
4.893761,2452.266452
7.269709,2471.658956
8.111679,2487.547478
6.231471,2503.585288
7.022046,2521.432133
5.214068,2536.590404
5.367645,2553.718679
4.616304,2570.049306
7.352434,2587.773456
7.428406,2603.825379
6.197806,2619.610791
5.831608,2636.331713
5.635756,2653.057564
6.883894,2670.261043
5.787797,2687.170297
9.131387,2705.522068
7.014142,2720.508904
6.089127,2736.452053
5.773173,2753.126541
6.124201,2770.481133
6.91116,2788.339339
6.036068,2803.402179
5.967808,2821.442412
6.0313,2837.44054
8.091773,2854.499562
8.211333,2870.604641
7.276237,2887.639854
6.453565,2903.830377
6.440956,2920.842517
5.746803,2937.112885
6.554691,2952.933723
7.276429,2970.65112
6.904759,2987.292774
9.189407,3005.573501
6.250897,3020.668471
5.108621,3036.495389
5.119534,3053.52289
20.060959,3086.475746
6.51184,3103.001873
5.496611,3119.902515
6.366966,3136.817845
5.285943,3153.726039
4.456837,3169.870987
6.785039,3187.316525
7.726534,3203.266998
6.657383,3220.073009
5.731729,3236.236295
6.908694,3254.426388
5.122477,3270.579305
8.432623,3288.855419
5.888378,3304.281062
7.662338,3322.208899
20.941039,3353.376939
7.195207,3371.603514
9.201181,3388.624098
6.77019,3405.213297
7.467031,3420.908395
5.393469,3437.810732
6.026594,3453.587755
8.296359,3472.711695
7.257066,3488.68953
6.887637,3505.292746
6.791663,3522.222829
6.846675,3537.350278
6.165899,3553.603425
6.893781,3570.305398
6.604964,3587.05419
5.108236,3603.526742
5.472065,3620.931925
7.335919,3637.76645
6.459547,3653.912135
6.332181,3670.76743
5.501028,3686.953341
6.193132,3703.639665
5.754226,3720.245121
6.069541,3738.522067
4.358912,3753.836055
6.298994,3770.741464
6.95452,3788.43732
6.719403,3804.243753
5.925404,3820.377853
6.987642,3838.472068
6.377207,3854.838182
5.06833,3870.548129
5.529253,3887.030122
8.490131,3904.967208
6.371382,3920.825515
6.817041,3938.241867
9.098775,3957.541145
6.244239,3971.672279
9.958281,3991.447329
17.092524,4020.547535
7.028285,4037.461489
6.348981,4053.862069
6.085926,4070.551946
6.368822,4086.945389
5.24258,4103.70567
5.863191,4121.322989
5.337176,4137.919768
4.787097,4154.244308
5.767185,4171.262103
7.235143,4187.81408
6.653701,4205.110772
6.991513,4221.476946
