#{"version": "3.2", "pandas_kwargs": {"dtype": {"comment": "str"}, "keep_default_na": false, "index_col": [0, 1], "comment": "#"}}
thread_id,frame_id,function_id,caller_frame_id,cpu_time_start,cpu_time,wall_time_start,wall_time,function_name,comment
0,78,3,13397,55258599,1332,496860879085564,1332,,
0,77,1,0,55257648,3194,496860879084610,3208,,1
0,80,3,13397,55263058,1496,496860879090028,1492,,
0,79,1,0,55262096,3376,496860879089052,3436,,1
0,82,2,13397,55268000,10921840,496860879094982,10982173,,
0,81,1,0,55266856,10924942,496860879093823,10984449,,1
0,84,3,13397,66197878,1363,496860890084614,1084,,
0,83,1,0,66196763,3636,496860890083256,3598,,1
0,86,3,13397,66203294,1529,496860890089777,1501,,
0,85,1,0,66202395,3249,496860890088881,3232,,1
0,88,3,13397,66208042,1598,496860890094793,1300,,
0,87,1,0,66207047,3755,496860890093553,3739,,1
0,90,3,13397,66213182,1700,496860890099667,1681,,
0,89,1,0,66211978,3733,496860890098494,3684,,1
0,92,3,13397,66218382,1632,496860890105135,1346,,
0,91,1,0,66217089,4054,496860890103563,4079,,1
0,94,3,13397,66223698,1765,496860890110168,1770,,
0,93,1,0,66222522,3779,496860890109292,3492,,1
0,96,3,13397,66228673,1662,496860890115148,1665,,
0,95,1,0,66227722,3506,496860890114208,3758,,1
0,98,3,13397,66233756,1362,496860890120252,1610,,
0,97,1,0,66232592,3637,496860890119045,3651,,1
0,100,3,13397,66238502,1209,496860890124974,1466,,
0,99,1,0,66237359,3447,496860890124100,3193,,1
0,102,2,13397,66243204,10460675,496860890129661,10824817,,
0,101,1,0,66242243,10464378,496860890128713,10827219,,1
0,104,3,13397,76712571,1456,496860900961879,1451,,
0,103,1,0,76711051,3917,496860900960374,3903,,1
0,106,3,13397,76718550,1745,496860900967849,1718,,
0,105,1,0,76717669,3465,496860900966963,3455,,1
0,108,3,13397,76723410,1656,496860900972954,1403,,
0,107,1,0,76722524,3668,496860900971801,3692,,1
0,110,3,13397,76728594,1193,496860900977887,1483,,
0,109,1,0,76727340,3594,496860900976634,3556,,1
0,112,3,13397,76733276,1652,496860900982578,1637,,
0,111,1,0,76732015,3760,496860900981687,3368,,1
0,114,3,13397,76738112,1511,496860900987650,1249,,
0,113,1,0,76737207,3568,496860900986493,3580,,1
0,116,3,13397,76742969,1229,496860900992279,1476,,
0,115,1,0,76741824,3496,496860900991074,3538,,1
0,118,3,13397,76747993,1428,496860900997247,1454,,
0,117,1,0,76746514,3741,496860900996403,3132,,1
0,120,3,13397,76752598,1552,496860901001896,1557,,
0,119,1,0,76751642,3378,496860901000950,3641,,1
0,122,2,13397,76757710,13079275,496860901006985,13080776,,
0,121,1,0,76756429,13083252,496860901005686,13083332,,1
0,124,3,13397,89846587,1307,496860914095891,1364,,
0,123,1,0,89845345,3502,496860914094660,3536,,1
0,126,3,13397,89851678,1879,496860914100968,1899,,
0,125,1,0,89850594,3884,496860914100022,3752,,1
0,128,3,13397,89856658,1773,496860914105962,1767,,
0,127,1,0,89855698,3658,496860914105000,3652,,1
0,130,3,13397,89861657,1607,496860914110963,1599,,
0,129,1,0,89860724,3442,496860914110017,3455,,1
0,132,3,13397,89866486,1293,496860914115782,1312,,
0,131,1,0,89865368,3348,496860914114672,3341,,1
0,134,3,13397,89870968,1769,496860914120630,1484,,
0,133,1,0,89870014,3768,496860914119363,3722,,1
0,136,3,13397,89876111,1390,496860914125410,1391,,
0,135,1,0,89875089,3307,496860914124380,3310,,1
0,138,3,13397,89880622,1257,496860914129915,1263,,
0,137,1,0,89879664,3337,496860914128969,3324,,1
0,140,3,13397,89885130,1375,496860914134454,1346,,
0,139,1,0,89884239,3157,496860914133505,3172,,1
0,142,2,13397,89889887,13564712,496860914139188,13568348,,
0,141,1,0,89888650,13572345,496860914137953,13572608,,1
0,144,3,13397,103483563,5644,496860927732891,5810,,
0,143,1,0,103479698,10613,496860927728976,11065,,1
0,146,3,13397,103494446,2048,496860927743765,2517,,
0,145,1,0,103493548,4563,496860927742836,4943,,1
0,148,3,13397,103502776,2400,496860927752040,2438,,
0,147,1,0,103501199,5514,496860927751166,5074,,1
0,150,3,13397,103508950,2129,496860927758753,2352,,
0,149,1,0,103508084,4583,496860927757336,4603,,1
0,152,3,13397,103516165,1748,496860927765878,1350,,
0,151,1,0,103515042,4066,496860927764564,3825,,1
0,154,3,13397,103522552,1115,496860927771829,1194,,
0,153,1,0,103520330,4518,496860927770489,3662,,1
0,156,3,13397,103527829,2386,496860927777158,2358,,
0,155,1,0,103525993,5091,496860927775388,5088,,1
0,158,3,13397,103533868,2189,496860927783347,2424,,
0,157,1,0,103532827,4506,496860927782250,4439,,1
0,160,3,13397,103541043,2754,496860927790394,3087,,
0,159,1,0,103539201,5859,496860927789099,5323,,1
0,162,2,13397,103547906,13101935,496860927797716,13145021,,
